#,STATE,STATE ABBREVIATION,DISTRICT,FEC ID,INCUMBENT INDICATOR,FIRST NAME,LAST NAME,"LAST NAME, FIRST",TOTAL VOTES,PARTY,PRIMARY,PRIMARY %,RUNOFF,RUNOFF %,GENERAL,GENERAL %,GE RUNOFF,GE RUNOFF %,"COMBINED GE PARTY TOTALS (NY, SC)","COMBINED % (NY, SC)",Notes (See Endnotes Tab),year
1,Alabama,AL,01,H2AL01077,(I),Jo,Bonner,"Bonner, Jo",,REP,Unopposed,,,,"112,944",68.10%,,,,,,2006
2,Alabama,AL,01,H6AL01052,,Vivian Sheffield,Beckerle,"Beckerle, Vivian Sheffield",,DEM,Unopposed,,,,"52,770",31.82%,,,,,,2006
3,Alabama,AL,01,,,,Scattered,Scattered,,W,,,,,127,0.08%,,,,,,2006
4,Alabama,AL,01,,,,,,District Votes:,,,,,,"165,841",,,,,,,2006
5,Alabama,AL,02,H2AL02067,(I),Terry,Everett,"Everett, Terry",,REP,Unopposed,,,,"124,302",69.47%,,,,,,2006
6,Alabama,AL,02,H4AL02063,,Charles (Chuck) Dean,James,"James, Charles (Chuck) Dean",,DEM,"36,058",70.60%,,,"54,450",30.43%,,,,,,2006
7,Alabama,AL,02,H6AL02134,,"John, Jr.",Morykwas,"Morykwas, John, Jr.",,DEM,"15,016",29.40%,,,,,,,,,,2006
8,Alabama,AL,02,,,,,,Party Votes:,DEM,"51,074",,,,,,,,,,,2006
9,Alabama,AL,02,,,,Scattered,Scattered,,W,,,,,167,0.09%,,,,,,2006
10,Alabama,AL,02,,,,,,District Votes:,,"51,074",,,,"178,919",,,,,,,2006
11,Alabama,AL,03,H2AL03032,(I),Mike,Rogers,"Rogers, Mike",,REP,Unopposed,,,,"98,257",59.44%,,,,,,2006
12,Alabama,AL,03,H6AL03140,,Greg A.,Pierce,"Pierce, Greg A.",,DEM,Unopposed,,,,"63,559",38.45%,,,,,,2006
13,Alabama,AL,03,H6AL03132,,Mark Edwin,Layfield,"Layfield, Mark Edwin",,IND,,,,,"3,414",2.07%,,,,,,2006
14,Alabama,AL,03,,,,Scattered,Scattered,,W,,,,,71,0.04%,,,,,,2006
15,Alabama,AL,03,,,,,,District Votes:,,,,,,"165,301",,,,,,,2006
16,Alabama,AL,04,H6AL04098,(I),Robert B.,Aderholt,"Aderholt, Robert B.",,REP,Unopposed,,,,"128,484",70.18%,,,,,,2006
