cycle,CAND_ID,CAND_ELECTION_YR,FEC_ELECTION_YR,CMTE_ID,CMTE_TP,CMTE_DSGN,LINKAGE_ID
2000,H0AK00055,2000,2000,C00361626,H,P,54
2000,H0AL02061,2000,2000,C00362657,H,P,85
2000,H0AL02079,2000,2000,C00359406,H,P,87
2000,H0AL03036,1996,2000,C00235119,H,P,2
2000,H0AL03101,1996,2000,C00319988,H,P,27
2000,H0AL04026,2000,2000,C00349282,H,P,41
2000,H0AL05049,2000,2000,C00239038,H,P,101
2000,H0AL06070,2000,2000,C00359323,H,P,130
2000,H0AL07060,2000,2000,C00347872,H,P,141
2000,H0AL07078,2000,2000,C00358317,H,P,146
2000,H0AR01018,1990,2000,C00237446,H,P,153
2000,H0AR01059,2000,2000,C00348904,H,P,159
2000,H0AR01067,2000,2000,C00350124,H,P,161
2000,H0AR02065,1990,2000,C00243089,H,P,173
2000,H0AR02073,2000,2000,C00351312,H,P,174
2000,H0AR02081,2000,2000,C00356857,H,P,178
2000,H0AR04038,2000,2000,C00345710,H,P,188
2000,H0AR04046,2000,2000,C00346874,H,P,193
2000,H0AR04053,2000,2000,C00348508,H,P,197
2000,H0AS00018,2000,2000,C00231092,H,P,216
2000,H0AZ01184,2000,2000,C00347260,H,P,262
2000,H0AZ01192,2000,2000,C00348326,H,P,267
2000,H0AZ01200,2000,2000,C00348748,H,P,269
2000,H0AZ01218,2000,2000,C00349381,H,P,271
2000,H0AZ01226,2000,2000,C00353821,H,P,275
2000,H0AZ03248,2000,2000,C00343517,H,P,305
2000,H0AZ03263,2000,2000,C00356105,H,P,313
2000,H0AZ05037,2000,2000,C00343723,H,P,329
2000,H0AZ05045,2000,2000,C00352625,H,P,333
2000,H0AZ06019,2000,2000,C00357814,H,P,337
2000,H0AZ06019,2000,2000,C00357053,H,A,338
2000,H0AZ06027,2000,2000,C00360586,H,P,341
2000,H0CA00033,2000,2000,C00344093,H,P,346
2000,H0CA00041,2000,2000,C00352724,H,P,348
2000,H0CA01064,1998,2000,C00237834,H,P,366
2000,H0CA01106,2000,2000,C00346429,H,P,374
2000,H0CA01114,2000,2000,C00348995,H,P,378
2000,H0CA04100,2000,2000,C00351932,H,P,432
2000,H0CA05040,2000,2000,C00353425,H,P,447
2000,H0CA07079,2000,2000,C00351080,H,P,481
2000,H0CA07087,2000,2000,C00352245,H,P,483
2000,H0CA10057,2000,2000,C00350405,H,P,522
2000,H0CA10065,2000,2000,C00351783,H,P,525
2000,H0CA11022,2000,2000,C00112250,H,P,541
2000,H0CA11246,2000,2000,C00348615,H,P,576
2000,H0CA11253,2000,2000,C00363366,H,P,578
2000,H0CA12046,1992,2000,C00247643,H,P,594
2000,H0CA13044,2000,2000,C00348029,H,P,604
2000,H0CA14042,2000,2000,C00242768,H,P,627
2000,H0CA15031,2000,2000,C00247544,H,P,656
2000,H0CA15114,2000,2000,C00347278,H,P,671
2000,H0CA15122,2000,2000,C00349241,H,P,674
2000,H0CA15130,2000,2000,C00350272,H,P,675
2000,H0CA15148,2002,2000,C00351379,H,P,677
2000,H0CA15155,2000,2000,C00351866,H,P,683
2000,H0CA17045,2000,2000,C00236711,H,P,710
