cand_id,cycle,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,state_abbreviation,district,incumbent,party,primary_votes,runoff_votes,general_votes,ge_runoff_election_votes,winner,total_votes,totalspend,costvote
H0AK00089,2010,550.0,0.0,0.0,0.0,0.0,785.0,0.0,0.0,0.0,0.0,0.0,0.0,218666.06,AK,0,0,D,38673.0,0.0,77606.0,0.0,0,116279.0,220001.06,1.8920102512061507
H0AL02087,2012,11727.82,0.0,16964.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,666262.0700000001,AL,2,1,R,0.0,0.0,180591.0,0.0,1,180591.0,694953.9800000001,3.848220453953963
H0AL02087,2014,12132.25,0.0,16866.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,541474.45,AL,2,1,R,0.0,0.0,113103.0,0.0,1,113103.0,570473.48,5.043840393269851
H0AL03184,2010,14.95,1441.91,0.0,5000.0,0.0,2293.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AL,3,0,D,0.0,0.0,80204.0,0.0,0,80204.0,8750.36,0.10910129170614932
H0AL05163,2010,54616.04,2343.79,71452.12,547321.04,27000.0,66857.04,9362.66,249.0,0.0,0.0,0.0,0.0,1626.96,AL,5,0,R,35746.0,0.0,131109.0,0.0,1,166855.0,780579.65,4.678191543555782
H0AL05163,2012,54178.0,8154.95,121673.9,165131.27,17000.0,16138.18,9083.92,0.0,0.0,0.0,0.0,0.0,2321.95,AL,5,1,R,65163.0,0.0,189185.0,0.0,1,254348.0,393682.17,1.547809182694576
H0AL05163,2014,15420.65,8540.32,91996.02,81481.66,15000.0,11833.66,2350.0,0.0,0.0,0.0,0.0,0.0,215.0,AL,5,1,R,49117.0,0.0,115338.0,0.0,1,164455.0,226837.31000000003,1.379327536408136
H0AL07086,2010,717735.35,38988.03,52236.78,690997.05,55500.0,50828.5,31230.29,0.0,0.0,8313.27,0.0,5688.9,21920.13,AL,7,0,D,31531.0,32366.0,136696.0,0.0,1,200593.0,1673438.2999999996,8.342456117611281
H0AL07086,2012,329788.25,48925.15,65657.68,23994.0,0.0,40971.17,140490.99,0.0,0.0,0.0,1500.0,2015.0,7789.08,AL,7,1,D,0.0,0.0,232520.0,0.0,1,232520.0,661131.32,2.8433309822810937
H0AL07086,2014,425989.76,57266.94,116612.17,303683.52,30000.0,58571.83,166933.55,0.0,0.0,0.0,0.0,800.0,5304.93,AL,7,1,D,74953.0,0.0,133687.0,0.0,1,208640.0,1165162.7,5.5845604869631895
H0AL07177,2010,819.33,696.0,0.0,2597.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7445.99,AL,7,0,R,6166.0,11783.0,51890.0,0.0,0,69839.0,11558.62,0.16550380160082476
H0AR01083,2010,214009.09,15767.65,98196.1,746433.89,48722.17,15002.37,10492.8,0.0,0.0,1250.0,0.0,0.0,184639.91,AR,1,0,R,14461.0,0.0,93224.0,0.0,1,107685.0,1334513.98,12.39275646561731
H0AR01083,2012,76276.20999999999,3323.74,110836.3,0.0,0.0,0.0,1408.84,0.0,0.0,0.0,0.0,0.0,915120.65,AR,1,1,R,0.0,0.0,138800.0,0.0,1,138800.0,1106965.74,7.975257492795389
H0AR01083,2014,12132.25,0.0,16866.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,581435.52,AR,1,1,R,0.0,0.0,124139.0,0.0,1,124139.0,610434.55,4.91734708673342
H0AR01109,2010,70562.3,5872.99,17720.93,303707.61,26000.0,6671.16,829.76,0.0,0.0,0.0,0.0,0.0,1131194.04,AR,1,0,D,25854.0,39402.0,78267.0,0.0,0,143523.0,1562558.79,10.88716644718965
H0AR02107,2010,3320.0,0.0,2129.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1678418.96,AR,2,0,R,24610.0,0.0,122091.0,0.0,1,146701.0,1683868.94,11.478237639825222
H0AR02107,2012,5050.01,0.0,4669.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1451406.16,AR,2,1,R,0.0,0.0,158175.0,0.0,1,158175.0,1461125.7899999996,9.237400284495019
H0AR03030,2010,31154.1,784.0,8468.11,4742.09,395.79,3535.65,217.35,0.0,0.0,0.0,8000.0,0.0,17536.94,AR,3,0,D,0.0,0.0,56542.0,0.0,0,56542.0,74834.03,1.3235122563757915
H0AR03055,2010,102317.73,1789.07,21220.72,115681.73,3897.0,17865.24,5649.74,0.0,0.0,0.0,3200.0,0.0,285627.96,AR,3,0,R,19414.0,18334.0,148581.0,0.0,1,186329.0,557249.19,2.9906734324769624
H0AR03055,2012,306042.99,0.0,1162.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17467.68,AR,3,1,R,0.0,0.0,186467.0,0.0,1,186467.0,324673.47,1.7411846063914793
