cand_id,cycle,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13
H0AK00089,2010,550.0,,,,,785.0,,,,,,,218666.06
H0AK01038,2010,1569.23,88.93,,,,,,,,,,,168119.58
H0AL00016,2010,19831.34,909.8,81.19,465.0,,3177.55,2192.99,,,,,300.0,
H0AL01030,2010,7054.34,5233.32,668.95,27082.28,1175.0,1295.21,583.75,,,,,,1284.15
H0AL01030,2012,3480.0,27.72,381.09,7257.71,,,56.58,,,,,,
H0AL02087,2012,11727.82,,16964.09,,,,,,,,,,666262.0700000001
H0AL02087,2014,12132.25,,16866.78,,,,,,,,,,541474.45
H0AL02103,2010,2197.4,,,,,,,,,,,,127314.17
H0AL02111,2010,4897.58,,484.62,8403.45,,7489.74,,,,,,,
H0AL03184,2010,14.95,1441.91,,5000.0,,2293.5,,,,,,,
H0AL05049,2010,5818.75,,,,,,,,,,,,10023.55
H0AL05049,2012,11016.15,,,,,,,,,,,500.0,735.0
H0AL05049,2014,4592.0,,,,,,,,,,,5000.0,
H0AL05155,2010,56555.95,15549.94,266006.98,20809.92,,,47101.73,,,610.0,,,518734.69
H0AL05163,2010,54616.04,2343.79,71452.12,547321.04,27000.0,66857.04,9362.66,249.0,,,,,1626.96
H0AL05163,2012,54178.0,8154.95,121673.9,165131.27,17000.0,16138.18,9083.92,,,,,,2321.95
H0AL05163,2014,15420.65,8540.32,91996.02,81481.66,15000.0,11833.66,2350.0,,,,,,215.0
H0AL05171,2010,8174.82,,,40231.96,,5993.05,,,,,,,18926.36
H0AL05189,2010,1082.2,,,,,,205.0,,,,,,370262.34
H0AL07086,2010,717735.35,38988.03,52236.78,690997.05,55500.0,50828.5,31230.29,,,8313.27,,5688.9,21920.13
H0AL07086,2012,329788.25,48925.15,65657.68,23994.0,,40971.17,140490.99,,,,1500.0,2015.0,7789.08
H0AL07086,2014,425989.76,57266.94,116612.17,303683.52,30000.0,58571.83,166933.55,,,,,800.0,5304.93
H0AL07144,2010,3480.0,,4172.52,1573.37,,,224.25,,,,,,800.0
H0AL07177,2010,819.33,696.0,,2597.3,,,,,,,,,7445.99
H0AR01083,2010,214009.09,15767.65,98196.1,746433.89,48722.17,15002.37,10492.8,,,1250.0,,,184639.91
H0AR01083,2012,76276.20999999999,3323.74,110836.29999999999,,,,1408.84,,,,,,915120.65
H0AR01083,2014,12132.25,,16866.78,,,,,,,,,,581435.52
H0AR01109,2010,70562.3,5872.99,17720.93,303707.61,26000.0,6671.16,829.76,,,,,,1131194.04
