state_abbreviation,district,fec_id,incumbent,party,primary_votes,runoff_votes,general_votes,ge_runoff_election_votes,ge_winner_indicator,year,blank,total_votes
MA,1,,,,36684,,231747,,,2004,,268431
NH,2,,,R,35677,,,,,2004,,35677
TX,16,,,R,7753,,,,,2004,,7753
WA,S,,,D,769514,,,,,2004,,769514
,,,,,,,,,,2010,,0
KS,1,,,DEM,14109,,,,,2006,,14109
MD,S,,,REP,219403,,,,,2006,,219403
MI,8,,,REP,49623,,,,,2006,,49623
NM,1,,,REP,17035,,,,,2006,,17035
,,,,,,,,,,2012,,0
OR,4,,,W(DEM),596,,,,,2006,,596
,,,,,,,,,,,",",0
,,,,,,,,,,,",",0
FL,19,H6FL19046,,NPA,,,20214,,,2008,,20214
IL,10,,,R,44967,,,,,2008,,44967
LA,2,H6LA02207,,LBT,0,,549,,,2008,,549
MI,15,,,R,11160,,,,,2008,,11160
,,,,,,,,,,,",",0
NE,S,S8NE00109,,N(R),289,,,,,2008,,289
NE,S,,,N(R),1025,,,,,2008,,1025
NJ,2,H8NJ02117,,CNJ,,,1551,,,2008,,1551
NJ,2,H8NJ02133,,RTB,,,1312,,,2008,,1312
NJ,2,H0NJ02098,,SUS,,,648,,,2008,,648
NJ,2,,,,34516,,283965,,,2008,,318481
UT,1,,,,,,303445,,,2008,,303445
WI,2,,,,26000,,400841,,,2008,,426841
WY, ,,,W(R),463,,,,,2008,,463
OH,3,,,D,95848,,,,,2008,,95848
CA,6,,,,133950,,261152,,,2010,,395102
CA,42,,,LIB,371,,,,,2010,,371
,,,,,,,,,,2010,,0
GA,4,,,DEM,50913,,,,,2010,,50913
GA,,,,,,,,,,2010,,0
OH,3,,,,157763,,316180,,,2008,,473943
PA,2,,,,165543,,311336,,,2008,,476879
RI,1,,,R,44,,,,,2008,,44
MA,,,,,,,,,,2010,,0
MI,5,,,,84318,,202263,,,2010,,286581
MI,,,,,,,,,,2010,,0
MO,,,,,,,,,,2010,,0
,,,,,,,,,,2010,,0
NE,,,,,,,,,,2010,,0
NV,S,,,REP,175674,,,,,2010,,175674
RI,1,H6RI01104,,I,,,15108,,,2008,,15108
NY,,,,,,,,,,2010,,0
NC,S,,,REP,371968,,,,,2010,,371968
TX,,,,,,,,,,2010,,0
AL,1,H2AL01077,(I),R,0,,161067,,W,2004,,161067
AL,1,H2AL01119,,D,0,,93938,,,2004,,93938
AL,1,,,,,,255164,,,2004,,255164
