cand_id,cycle,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,total
H6FL19038,2006,281886.64,,,,,,,,,,,,,
H2NY17071,2004,4500.00,,,,,,,,,,,,,
H8TX27023,2008,12900.00,,,,,,,,,,,,,
H8OH18088,2012,30.00,,,,,,,,,,,,,
H0SC01071,2008,83183.76,,,,,,,,,,,,,
S0CA00199,2010,65563.32,,,,,,,,,,,,,
S0MI00056,2014,49863.62,,,,,,,,,,,,,
H2GA12113,2012,162924.41,,,,,,,,,,,,,
H8NJ03156,2010,48652.69,,,,,,,,,,,,,
H6AZ08020,2006,21606.11,,,,,,,,,,,,,
H4WV03070,2014,2826.00,,,,,,,,,,,,,
H4WI04191,2006,966.06,,,,,,,,,,,,,
H8VA10072,2008,4602.00,,,,,,,,,,,,,
H2MA01202,2012,13388.58,,,,,,,,,,,,,
H6WV03083,2006,1652.00,,,,,,,,,,,,,
H8WY00148,2012,68895.65,,,,,,,,,,,,,
H8WI01024,2014,356582.98,,,,,,,,,,,,,
H6TX09033,2004,1143785.48,,,,,,,,,,,,,
H0IN07157,2012,28824.84,,,,,,,,,,,,,
H2MI11042,2014,1938.75,,,,,,,,,,,,,
H0FL12150,2010,11395.96,,,,,,,,,,,,,
H8AL05109,2012,10019.08,,,,,,,,,,,,,
H8VA11039,2010,6902.86,,,,,,,,,,,,,
H2MN08103,2012,22125.35,,,,,,,,,,,,,
H4TX19136,2012,4743.92,,,,,,,,,,,,,
S2CA00286,2006,595.15,,,,,,,,,,,,,
H0WI07051,2012,1965.96,,,,,,,,,,,,,
H0NY02085,2010,1625923.74,,,,,,,,,,,,,
H4TN06051,2008,86814.26,,,,,,,,,,,,,
H8CA37137,2012,390071.78,,,,,,,,,,,,,
H6PA07105,2008,3019.58,,,,,,,,,,,,,
H4NY26045,2008,379925.34,,,,,,,,,,,,,
H4MD05110,2004,8974.00,,,,,,,,,,,,,
H0CA32101,2014,371378.08,,,,,,,,,,,,,
H6NJ08134,2008,2025.36,,,,,,,,,,,,,
S0NM00041,2008,5307.36,,,,,,,,,,,,,
H6OK05152,2006,46649.43,,,,,,,,,,,,,
H0IL14080,2014,660710.85,,,,,,,,,,,,,
H0MS04120,2014,405641.02,,,,,,,,,,,,,
H6CA47031,2008,44747.06,,,,,,,,,,,,,
H0VA09055,2012,2550.00,,,,,,,,,,,,,
H2GA12121,2014,2363444.82,,,,,,,,,,,,,
H2AZ09043,2012,178858.86,,,,,,,,,,,,,
H6CA46033,2008,33.15,,,,,,,,,,,,,
H2TX30061,2012,1750.00,,,,,,,,,,,,,
H8NY22045,2008,30266.86,,,,,,,,,,,,,
H2NM03157,2014,12168.04,,,,,,,,,,,,,
H8PA05063,2008,106304.60,,,,,,,,,,,,,
H8CA35032,2010,1025738.22,,,,,,,,,,,,,
H2NY13096,2012,176785.84,,,,,,,,,,,,,
H4WA05077,2008,310951.00,,,,,,,,,,,,,
H4WA04054,2004,116861.01,,,,,,,,,,,,,
H2VA08103,2012,101155.26,,,,,,,,,,,,,
S2WI00235,2012,9138408.00,,,,,,,,,,,,,
S0UT00157,2010,68528.73,,,,,,,,,,,,,
H4VA00023,2004,18000.00,,,,,,,,,,,,,
H4TX33012,2014,225444.81,,,,,,,,,,,,,
H6HI02301,2006,1150.00,,,,,,,,,,,,,
H0IL11078,2010,295.43,,,,,,,,,,,,,
H4TX04039,2004,37520.25,,,,,,,,,,,,,
H2NV02486,2012,1369.75,,,,,,,,,,,,,
H6CA34112,2012,255.10,,,,,,,,,,,,,
H0MO08244,2010,1217.63,,,,,,,,,,,,,
H4MI08085,2010,3756.89,,,,,,,,,,,,,
H0NV01078,2008,5230.00,,,,,,,,,,,,,
H6MN04228,2008,700.00,,,,,,,,,,,,,
H8CA52060,2010,1912.44,,,,,,,,,,,,,
H0RI01107,2012,285228.29,,,,,,,,,,,,,
H4TX21041,2014,26445.19,,,,,,,,,,,,,
H4MA07098,2004,27260.34,,,,,,,,,,,,,
H4IA01101,2014,95423.88,,,,,,,,,,,,,
H6MI09146,2006,214272.40,,,,,,,,,,,,,
H4LA03069,2012,4029.28,,,,,,,,,,,,,
H4OR04075,2006,398274.42,,,,,,,,,,,,,
H0CA10073,2010,192283.71,,,,,,,,,,,,,
H4NC06110,2014,514662.26,,,,,,,,,,,,,
H0IN04220,2010,1659.00,,,,,,,,,,,,,
H2VA03054,2012,2692.93,,,,,,,,,,,,,
H0FL03118,2010,27580.93,,,,,,,,,,,,,
H0NY02085,2008,761844.90,,,,,,,,,,,,,
H2WI03080,2012,99132.59,,,,,,,,,,,,,
H4TX24094,2004,222128.03,,,,,,,,,,,,,
H6NV01158,2008,360.09,,,,,,,,,,,,,
H0NY19139,2012,15304.27,,,,,,,,,,,,,
H2TX33164,2012,6072.36,,,,,,,,,,,,,
H2AZ01172,2008,1814.40,,,,,,,,,,,,,
H6OR04047,2004,842695.32,,,,,,,,,,,,,
H4NM03062,2006,1708.00,,,,,,,,,,,,,
H0IL17059,2012,4230.00,,,,,,,,,,,,,
H0OK05098,2010,405689.11,,,,,,,,,,,,,
H8OH16066,2008,221969.73,,,,,,,,,,,,,
H2MA09205,2012,226.97,,,,,,,,,,,,,
H2AL07165,2012,4125.00,,,,,,,,,,,,,
H2KY04071,2006,656909.32,,,,,,,,,,,,,
H2SC00020,2012,211441.86,,,,,,,,,,,,,
H8MN03085,2010,44397.70,,,,,,,,,,,,,
H4NJ03106,2014,118.09,,,,,,,,,,,,,
H8TX06035,2006,218.67,,,,,,,,,,,,,
S4OK00174,2006,747.99,,,,,,,,,,,,,
H2NY11116,2012,17590.14,,,,,,,,,,,,,
H4VI00120,2012,11439.00,,,,,,,,,,,,,
H0MI13414,2010,1832.82,,,,,,,,,,,,,
H0NY02085,2004,399904.81,,,,,,,,,,,,,
H0ID01253,2014,214873.08,,,,,,,,,,,,,
H0NY20095,2012,5050.01,,,,,,,,,,,,,
H2CA42122,2012,41157.21,,,,,,,,,,,,,
H2IL13120,2012,3200.00,,,,,,,,,,,,,
H2SC05052,2006,7038.54,,,,,,,,,,,,,
S2NV00183,2012,5199.99,,,,,,,,,,,,,
H6MN03113,2008,115.80,,,,,,,,,,,,,
H6CA34112,2014,815.32,,,,,,,,,,,,,
H0CA47109,2010,8670.46,,,,,,,,,,,,,
H6VA02099,2006,34910.52,,,,,,,,,,,,,
H4CO03126,2006,16275.25,,,,,,,,,,,,,
H0MI10212,2012,5166.99,,,,,,,,,,,,,
H0FL24049,2012,15607.45,,,,,,,,,,,,,
H2TX26093,2014,3898.76,,,,,,,,,,,,,
H4WA06067,2010,22575.10,,,,,,,,,,,,,
H4MO09053,2004,29476.44,,,,,,,,,,,,,
H6OH06111,2006,4800.02,,,,,,,,,,,,,
H6CA24253,2010,411.26,,,,,,,,,,,,,
H0IA02099,2014,28250.00,,,,,,,,,,,,,
H0KS01099,2010,213113.66,,,,,,,,,,,,,
H4NY11104,2004,71464.55,,,,,,,,,,,,,
H0WI07069,2012,511.19,,,,,,,,,,,,,
H4TX06117,2014,1252153.42,,,,,,,,,,,,,
H4CA26113,2006,8947.61,,,,,,,,,,,,,
S4MN00262,2010,80.00,,,,,,,,,,,,,
H0IL14080,2010,2265.60,,,,,,,,,,,,,
H8PA03050,2008,7730.21,,,,,,,,,,,,,
H0CA02120,2012,800.00,,,,,,,,,,,,,
H8NJ12074,2012,2546.30,,,,,,,,,,,,,
S0MD00242,2010,54633.62,,,,,,,,,,,,,
H0WA02098,2014,21532.11,,,,,,,,,,,,,
H6MO05189,2014,19684.85,,,,,,,,,,,,,
H0TN08246,2012,3459.40,,,,,,,,,,,,,
H2LA05084,2014,393652.97,,,,,,,,,,,,,
H4PR00079,2008,105.00,,,,,,,,,,,,,
H4NY11138,2010,350.00,,,,,,,,,,,,,
H0FL08117,2010,37479.15,,,,,,,,,,,,,
H0NE02136,2010,30.93,,,,,,,,,,,,,
H0OH12062,2004,691659.29,,,,,,,,,,,,,
S2TX00338,2014,1229.48,,,,,,,,,,,,,
H8OH02041,2004,1414.40,,,,,,,,,,,,,
H2LA04103,2014,45.00,,,,,,,,,,,,,
H2IL19010,2006,17816.45,,,,,,,,,,,,,
H2NC07096,2012,3200.00,,,,,,,,,,,,,
H2FL20043,2012,4297.34,,,,,,,,,,,,,
H0OH06189,2012,377424.19,,,,,,,,,,,,,
H2OH14064,2014,240.18,,,,,,,,,,,,,
H2FL06117,2014,4750.00,,,,,,,,,,,,,
H4IA03131,2014,1710.94,,,,,,,,,,,,,
H6CA40267,2006,70804.09,,,,,,,,,,,,,
H4OH10134,2008,13043.14,,,,,,,,,,,,,
H0SC01279,2010,275.00,,,,,,,,,,,,,
H2OH14064,2012,532.48,,,,,,,,,,,,,
H2CT06014,2006,4506.83,,,,,,,,,,,,,
H8WA01051,2012,45169.48,,,,,,,,,,,,,
H4FL26038,2014,24692.94,,,,,,,,,,,,,
H2IL01042,2010,223529.87,,,,,,,,,,,,,
H2CA38237,2014,1571.22,,,,,,,,,,,,,
H4IN04099,2006,69847.45,,,,,,,,,,,,,
H8VA11021,2012,60890.13,,,,,,,,,,,,,
H4KY02089,2014,22566.44,,,,,,,,,,,,,
H4WV02122,2014,33558.50,,,,,,,,,,,,,
H8GA10049,2014,250.00,,,,,,,,,,,,,
H2PA16063,2014,180.54,,,,,,,,,,,,,
H8GA10049,2010,1654.25,,,,,,,,,,,,,
H8NY22102,2008,86277.03,,,,,,,,,,,,,
H0CA51036,2010,50029.50,,,,,,,,,,,,,
H4CA31071,2014,204174.14,,,,,,,,,,,,,
H4IN08199,2014,547.79,,,,,,,,,,,,,
H4CA17294,2014,83320.24,,,,,,,,,,,,,
S6MO00305,2014,300.00,,,,,,,,,,,,,
H4NE01064,2006,166851.30,,,,,,,,,,,,,
H4TN06127,2004,5.46,,,,,,,,,,,,,
H6MN06074,2010,67835.50,,,,,,,,,,,,,
H4NC07068,2014,1702.82,,,,,,,,,,,,,
H4LA07029,2006,901196.91,,,,,,,,,,,,,
H4KS01059,2014,13469.29,,,,,,,,,,,,,
H0MO02213,2012,216.00,,,,,,,,,,,,,
H2CA33048,2004,38267.61,,,,,,,,,,,,,
H0MI08042,2008,50751.09,,,,,,,,,,,,,
H2AR03176,2008,176468.96,,,,,,,,,,,,,
H4IL08126,2014,180793.71,,,,,,,,,,,,,
H8WA04071,2010,1446.80,,,,,,,,,,,,,
H4CA23151,2014,870.90,,,,,,,,,,,,,
H2OH02085,2014,328911.15,,,,,,,,,,,,,
H6MA09149,2008,3854.00,,,,,,,,,,,,,
H2PA18176,2012,135929.88,,,,,,,,,,,,,
H6MD03292,2008,616468.26,,,,,,,,,,,,,
H0WI08075,2012,1250.00,,,,,,,,,,,,,
H2CA20094,2012,5230.00,,,,,,,,,,,,,
H0TX16064,2010,9334.16,,,,,,,,,,,,,
H8CA34068,2012,190761.09,,,,,,,,,,,,,
H4NY11112,2004,17755.00,,,,,,,,,,,,,
H0MI07077,2010,144630.07,,,,,,,,,,,,,
H2VI00082,2014,33837.05,,,,,,,,,,,,,
H6TX08100,2014,3898.76,,,,,,,,,,,,,
H2TN03136,2012,5564.64,,,,,,,,,,,,,
H2VA11164,2014,161.80,,,,,,,,,,,,,
S8ID00092,2010,46271.48,,,,,,,,,,,,,
H2CO04045,2008,1814.40,,,,,,,,,,,,,
H8OR05107,2010,3546.82,,,,,,,,,,,,,
H2MD01154,2014,153566.56,,,,,,,,,,,,,
H8CA17089,2010,6471.41,,,,,,,,,,,,,
H2OK01093,2008,161913.86,,,,,,,,,,,,,
H4IA03065,2014,35701.78,,,,,,,,,,,,,
