cand_id,cycle,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,state_abbreviation,district,incumbent,party,primary_votes,runoff_votes,general_votes,ge_runoff_election_votes,ge_winner_indicator,total_votes
H0AK00089,2010,550.0,,,,,785.0,,,,,,,218666.06,AK,0,0,DEM,38673.0,0.0,77606.0,0.0,0,116279.0
H0AK01038,2010,1569.23,88.93,,,,,,,,,,,168119.58,AK,0,0,REP,24709.0,0.0,0.0,0.0,0,24709.0
H0AL00016,2010,19831.34,909.8,81.19,465.0,,3177.55,2192.99,,,,,300.0,,AL,7,0,DEM,6672.0,0.0,0.0,0.0,0,6672.0
H0AL01030,2010,7054.34,5233.32,668.95,27082.28,1175.0,1295.21,583.75,,,,,,1284.15,AL,1,0,REP,18725.0,0.0,0.0,0.0,0,18725.0
H0AL01030,2012,3480.0,27.72,381.09,7257.71,,,56.58,,,,,,,AL,1,0,R,3854.0,0.0,0.0,0.0,0,3854.0
H0AL02087,2012,11727.82,,16964.09,,,,,,,,,,666262.0700000001,AL,2,1,R,0.0,0.0,180591.0,0.0,1,180591.0
H0AL02087,2014,12132.25,,16866.78,,,,,,,,,,541474.45,AL,2,1,R,0.0,0.0,113103.0,0.0,1,113103.0
H0AL02103,2010,2197.4,,,,,,,,,,,,127314.17,AL,2,0,REP,21313.0,26091.0,0.0,0.0,0,47404.0
H0AL02111,2010,4897.58,,484.62,8403.45,,7489.74,,,,,,,,AL,2,0,REP,13797.0,0.0,0.0,0.0,0,13797.0
H0AL03184,2010,14.95,1441.91,,5000.0,,2293.5,,,,,,,,AL,3,0,DEM,0.0,0.0,80204.0,0.0,0,80204.0
H0AL05049,2010,5818.75,,,,,,,,,,,,10023.55,,,,,,,,,,
H0AL05049,2012,11016.15,,,,,,,,,,,500.0,735.0,,,,,,,,,,
H0AL05049,2014,4592.0,,,,,,,,,,,5000.0,,,,,,,,,,,
H0AL05155,2010,56555.95,15549.94,266006.98,20809.92,,,47101.73,,,610.0,,,518734.69,AL,5,0,REP,11085.0,0.0,0.0,0.0,0,11085.0
H0AL05163,2010,54616.04,2343.79,71452.12,547321.04,27000.0,66857.04,9362.66,249.0,,,,,1626.96,AL,5,0,REP,35746.0,0.0,131109.0,0.0,1,166855.0
H0AL05163,2012,54178.0,8154.95,121673.9,165131.27,17000.0,16138.18,9083.92,,,,,,2321.95,AL,5,1,R,65163.0,0.0,189185.0,0.0,1,254348.0
H0AL05163,2014,15420.65,8540.32,91996.02,81481.66,15000.0,11833.66,2350.0,,,,,,215.0,AL,5,1,R,49117.0,0.0,115338.0,0.0,1,164455.0
H0AL05171,2010,8174.82,,,40231.96,,5993.05,,,,,,,18926.36,AL,5,0,DEM,5277.0,0.0,0.0,0.0,0,5277.0
H0AL05189,2010,1082.2,,,,,,205.0,,,,,,370262.34,AL,5,0,DEM,10262.0,0.0,0.0,0.0,0,10262.0
H0AL07086,2010,717735.35,38988.03,52236.78,690997.05,55500.0,50828.5,31230.29,,,8313.27,,5688.9,21920.13,AL,7,0,DEM,31531.0,32366.0,136696.0,0.0,1,200593.0
H0AL07086,2012,329788.25,48925.15,65657.68,23994.0,,40971.17,140490.99,,,,1500.0,2015.0,7789.08,AL,7,1,D,0.0,0.0,232520.0,0.0,1,232520.0
H0AL07086,2014,425989.76,57266.94,116612.17,303683.52,30000.0,58571.83,166933.55,,,,,800.0,5304.93,AL,7,1,D,74953.0,0.0,133687.0,0.0,1,208640.0
H0AL07144,2010,3480.0,,4172.52,1573.37,,,224.25,,,,,,800.0,AL,7,0,REP,2804.0,0.0,0.0,0.0,0,2804.0
H0AL07177,2010,819.33,696.0,,2597.3,,,,,,,,,7445.99,AL,7,0,REP,6166.0,11783.0,51890.0,0.0,0,69839.0
H0AR01083,2010,214009.09,15767.65,98196.1,746433.89,48722.17,15002.37,10492.8,,,1250.0,,,184639.91,AR,1,0,REP,14461.0,0.0,93224.0,0.0,1,107685.0
H0AR01083,2012,76276.20999999999,3323.74,110836.3,,,,1408.84,,,,,,915120.65,AR,1,1,R,0.0,0.0,138800.0,0.0,1,138800.0
H0AR01083,2014,12132.25,,16866.78,,,,,,,,,,581435.52,AR,1,1,R,0.0,0.0,124139.0,0.0,1,124139.0
H0AR01109,2010,70562.3,5872.99,17720.93,303707.61,26000.0,6671.16,829.76,,,,,,1131194.04,AR,1,0,DEM,25854.0,39402.0,78267.0,0.0,0,143523.0
H0AR01109,2012,3705.02,,660.0,,,,,,4000.0,,,,12952.9,,,,,,,,,,
H0AR01109,2014,250.0,,,,,,,,,,,,7619.63,,,,,,,,,,
H0AR01125,2010,23490.52,1155.0,11773.98,9859.7,,266.99,10847.95,,,,,,32113.08,AR,1,0,REP,5682.0,0.0,0.0,0.0,0,5682.0
H0AR01125,2012,100.0,,,,,,,,,,,,150.0,,,,,,,,,,
H0AR01133,2010,23613.76,4421.0,7982.82,24139.31,,2046.19,250.0,,,,,532.0,,AR,1,0,DEM,14158.0,0.0,0.0,0.0,0,14158.0
H0AR01166,2010,23904.28,8284.78,2876.34,31689.75,,,250.0,,,,,,227.5,AR,1,0,DEM,5094.0,0.0,0.0,0.0,0,5094.0
H0AR01174,2010,18350.05,,750.0,9984.07,,,813.24,,,,,,1168.01,AR,1,0,DEM,4270.0,0.0,0.0,0.0,0,4270.0
H0AR02107,2010,3320.0,,2129.98,,,,,,,,,,1678418.96,AR,2,0,REP,24610.0,0.0,122091.0,0.0,1,146701.0
H0AR02107,2012,5050.01,,4669.62,,,,,,,,,,1451406.16,AR,2,1,R,0.0,0.0,158175.0,0.0,1,158175.0
H0AR02107,2014,14188.88,1458.34,,,,,200.0,,,,,411.32,425168.26,,,,,,,,,,
H0AR02115,2010,20108.92,491.36,10812.44,77530.26,5311.0,4708.5,4615.27,,,,,,103.99,AR,2,0,REP,15285.0,0.0,0.0,0.0,0,15285.0
H0AR02131,2012,318.0,,,,,,,,,,,,,,,,,,,,,,
H0AR02149,2010,133.14,457.8,,,,,,,,,,,66449.9,AR,2,0,DEM,5021.0,0.0,0.0,0.0,0,5021.0
H0AR02149,2012,25.0,,,,,,,,,,,,725.0,,,,,,,,,,
H0AR02156,2010,13664.02,,2229.23,3467.36,,972.88,,,,,,,355693.39,AR,2,0,DEM,14800.0,0.0,0.0,0.0,0,14800.0
H0AR02164,2010,4140.59,236.8,176.0,5371.7,,389.64,,,,,,,1000.0,AR,2,0,DEM,5032.0,0.0,0.0,0.0,0,5032.0
H0AR03022,2010,8678.36,1535.09,5010.24,23512.73,,13068.25,1735.79,,,,1500.0,,1217.61,AR,3,0,REP,7092.0,0.0,0.0,0.0,0,7092.0
H0AR03022,2012,1480.84,,690.63,554.81,,,4250.79,,,,3750.0,,115.77,,,,,,,,,,
H0AR03022,2014,1146.2,393.06,,5498.12,,,,,,,1000.0,,,,,,,,,,,,
H0AR03030,2010,31154.1,784.0,8468.11,4742.09,395.79,3535.65,217.35,,,,8000.0,,17536.94,AR,3,0,DEM,0.0,0.0,56542.0,0.0,0,56542.0
H0AR03030,2012,1418.7,,,,,,,,,,,,,,,,,,,,,,
H0AR03048,2010,56154.53,,1100.0,125560.0,,64845.99,,,,,,,,AR,3,0,REP,6037.0,0.0,0.0,0.0,0,6037.0
H0AR03055,2010,102317.73,1789.07,21220.72,115681.73,3897.0,17865.24,5649.74,,,,3200.0,,285627.96,AR,3,0,REP,19414.0,18334.0,148581.0,0.0,1,186329.0
H0AR03055,2012,306042.99,,1162.8,,,,,,,,,,17467.68,AR,3,1,R,0.0,0.0,186467.0,0.0,1,186467.0
H0AR03055,2014,386266.81,,,,,,,,,,,,3733.69,AR,3,1,R,0.0,0.0,151630.0,0.0,1,151630.0
H0AR03063,2010,10419.09,,85317.82,128687.42,,10739.92,1511.1,,,,,,1502.35,AR,3,0,REP,8253.0,17080.0,0.0,0.0,0,25333.0
H0AR03071,2010,19010.76,590.02,3548.26,11930.32,,240.23,,,,,,,900.0,AR,3,0,REP,4801.0,0.0,0.0,0.0,0,4801.0
H0AR03089,2010,8166.03,,,79991.56,,16210.68,350.0,,,,,,350.0,AR,3,0,REP,2491.0,0.0,0.0,0.0,0,2491.0
H0AR03097,2010,7800.0,,,22493.54,,425.0,555.0,,,,,,,AR,3,0,REP,6088.0,0.0,0.0,0.0,0,6088.0
H0AR04061,2010,283.01,97.06,3000.0,6562.41,,3793.0,312.74,,3027.27,,,,,AR,4,0,REP,7867.0,0.0,0.0,0.0,0,7867.0
H0AR04079,2010,141861.52,23431.21,25845.49,333634.47,,6672.68,16982.03,,,,,250.0,26573.72,AR,4,0,REP,9761.0,0.0,71526.0,0.0,0,81287.0
H0AR04079,2012,8294.36,0.0,5136.13,344.0,,,,,,,,,351857.27,AR,4,0,R,13460.0,0.0,0.0,0.0,0,13460.0
H0AS00018,2004,1192.21,,2021.58,8346.75,,310.0,,,,,,,92322.54,AS,0,1,D,0.0,0.0,6656.0,0.0,1,6656.0
H0AZ01184,2004,90444.41,15019.92,51560.51,283047.29,28155.6,16020.39,9483.02,,,,,,78450.09,AZ,6,1,R,33784.0,0.0,202882.0,0.0,1,236666.0
H0AZ01184,2006,79494.5,23828.06,33091.22,6993.79,,33395.43,25725.89,,,,,,,AZ,6,1,REP,43199.0,0.0,152201.0,0.0,1,195400.0
H0AZ01184,2008,200007.82,39448.14,174463.48,242738.88,,106309.12,21025.44,,,,,,7144.84,AZ,6,1,R,51562.0,0.0,208582.0,0.0,1,260144.0
H0AZ01184,2010,295716.43,15581.84,84987.35,150715.54,12714.75,31623.6,37141.53,,,,,,,AZ,6,1,REP,62285.0,0.0,165649.0,0.0,1,227934.0
H0AZ01184,2012,1641391.98,125152.85,1318746.41,4790291.88,177073.0,91150.76,126556.23,,,,407000.0,,17400.85,,,,,,,,,,
H0AZ01259,2010,147155.1,33296.4,133914.3,634857.89,25664.0,119271.66,9152.33,,,,410.0,,75700.16,AZ,1,0,REP,21941.0,0.0,112816.0,0.0,1,134757.0
H0AZ01259,2012,164364.97,18362.83,153514.46000000002,93983.95,17125.0,6151.27,2902.33,50000.0,,,19000.0,,577329.46,AZ,4,1,R,40033.0,0.0,162907.0,0.0,1,202940.0
