cand_id,cycle,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,state_abbreviation,district,incumbent,party,primary_votes,runoff_votes,general_votes,ge_runoff_election_votes,ge_winner_indicator,total_votes,totalspend,costpervote
H0AK00089,2010,550.0,0.0,0.0,0.0,0.0,785.0,0.0,0.0,0.0,0.0,0.0,0.0,218666.06,AK,0,0,DEM,38673.0,0.0,77606.0,0.0,0,116279.0,220001.06,1.8920102512061507
H0AK01038,2010,1569.23,88.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168119.58,AK,0,0,REP,24709.0,0.0,0.0,0.0,0,24709.0,169777.74,6.871089076854587
H0AL00016,2010,19831.34,909.8,81.19,465.0,0.0,3177.55,2192.99,0.0,0.0,0.0,0.0,300.0,0.0,AL,7,0,DEM,6672.0,0.0,0.0,0.0,0,6672.0,26957.869999999995,4.040448141486809
H0AL01030,2010,7054.34,5233.32,668.95,27082.28,1175.0,1295.21,583.75,0.0,0.0,0.0,0.0,0.0,1284.15,AL,1,0,REP,18725.0,0.0,0.0,0.0,0,18725.0,44377.0,2.3699332443257677
H0AL01030,2012,3480.0,27.72,381.09,7257.71,0.0,0.0,56.58,0.0,0.0,0.0,0.0,0.0,0.0,AL,1,0,R,3854.0,0.0,0.0,0.0,0,3854.0,11203.1,2.9068759730150493
H0AL02087,2012,11727.82,0.0,16964.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,666262.0700000001,AL,2,1,R,0.0,0.0,180591.0,0.0,1,180591.0,694953.9800000001,3.848220453953963
H0AL02087,2014,12132.25,0.0,16866.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,541474.45,AL,2,1,R,0.0,0.0,113103.0,0.0,1,113103.0,570473.48,5.043840393269851
H0AL02103,2010,2197.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127314.17,AL,2,0,REP,21313.0,26091.0,0.0,0.0,0,47404.0,129511.56999999999,2.7320810480128257
H0AL02111,2010,4897.58,0.0,484.62,8403.45,0.0,7489.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AL,2,0,REP,13797.0,0.0,0.0,0.0,0,13797.0,21275.39,1.5420301514822061
H0AL03184,2010,14.95,1441.91,0.0,5000.0,0.0,2293.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AL,3,0,DEM,0.0,0.0,80204.0,0.0,0,80204.0,8750.36,0.10910129170614932
H0AL05049,2010,5818.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10023.55,,,,,0.0,0.0,0.0,0.0,,,15842.3,
H0AL05049,2012,11016.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,735.0,,,,,0.0,0.0,0.0,0.0,,,12251.15,
H0AL05049,2014,4592.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,0.0,,,,,0.0,0.0,0.0,0.0,,,9592.0,
H0AL05155,2010,56555.95,15549.94,266006.98,20809.92,0.0,0.0,47101.73,0.0,0.0,610.0,0.0,0.0,518734.69,AL,5,0,REP,11085.0,0.0,0.0,0.0,0,11085.0,925369.21,83.47940550293188
